,X.x,kingdom,phylum,class,order,family,genus,scientific_name,sl_mm,sl_sex,sl_ref,tl_mm,tl_sex,tl_ref,fl_mm,fl_sex,fl_ref,dw_mm,dw_sex,dw_ref,max_weight_g,max_weight_ref,benthic,pelagic,benthopelagic,bathypelagic,pelagic.neritic,pelagic.oceanic,demersal,reef.associated,anadromous,catadromous,amphidromous,potamodromous,limnodromous,oceanodromous,non.migratory,freshwater,brackish,marine,use_fisheries,use_aquaculture,use_gamefish,use_bait,use_aquarium,use_ref,phylo_div,phylo_div_ref,troph_level,troph_level_se,troph_level_ref,resil,resil_ref,resil_K,resil_tm,resil_tmax,resil_fec,vulnerab,vulnerab_ref,price,price_ref,main_ref,IUCN_Status,Harvesting,Pollution,Energy_Production_and_Mining,Natural_System_Modification,Invasive_Species_and_Disease,Climate_Change,Development,Human_Disturbance,Transportation,Aquaculture_and_Agriculture,Other,Geological_Events
6906,6906,Animalia,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Laeops,Laeops nigrescens,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5001,82805,3.5,0.4,69278,1.4 - 4.4 years,120179,,,,,36,59153,,NA,55073,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6907,6907,Animalia,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Laeops,Laeops parviceps,NA,,NA,140,male/unsexed,9824,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,9824,0.5001,82805,3.5,0.37,69278,less than 15 months,120179,,,,,28,59153,,NA,6771,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6908,6908,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Solegnathus,Solegnathus dunckeri,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5312,82805,3.5,0.5,69278,less than 15 months,120179,,,,,37,59153,,NA,7300,DD,1,0,0,0,0,0,0,0,0,0,0,0
6909,6909,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Solegnathus,Solegnathus lettiensis,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5312,82805,3.5,0.5,69278,less than 15 months,120179,,,,,37,59153,,NA,5316,DD,1,0,0,0,0,0,0,0,0,0,0,0
6910,6910,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Solegnathus,Solegnathus robustus,NA,,NA,350,male/unsexed,5316,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5312,82805,3.5,0.5,69278,less than 15 months,120179,,,,,25,59153,,NA,5316,LC,1,0,0,0,0,0,0,0,0,0,0,0
6911,6911,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Solegnathus,Solegnathus spinosissimus,NA,,NA,490,male/unsexed,9563,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5312,82805,3.5,0.5,69278,1.4 - 4.4 years,120179,,,,,32,59153,,NA,9563,DD,1,0,0,0,0,0,0,0,0,0,0,0
6912,6912,Animalia,Chordata,Actinopteri,Syngnathiformes,Aulostomidae,Aulostomus,Aulostomus maculatus,NA,,NA,1000,male/unsexed,26340,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,minor commercial,,,,commercial,3271;49392,0.75,82805,4.3,0.6,69278,,120179,,,,,50,59153,unknown,80766,7251,LC,0,0,0,0,1,1,0,0,0,0,0,0
6913,6913,Animalia,Chordata,Actinopteri,Syngnathiformes,Aulostomidae,Aulostomus,Aulostomus strigosus,NA,,NA,750,male/unsexed,6554,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.75,82805,4.2,0.73,69278,,120179,,,,,32,59153,,NA,6554,LC,0,0,0,0,0,1,0,0,0,0,0,0
6914,6914,Animalia,Chordata,Actinopteri,Tetraodontiformes,Monacanthidae,Pseudomonacanthus,Pseudomonacanthus elongatus,250,male/unsexed,48637,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.625,82805,2.8,0.4,69278,1.4 - 4.4 years,120179,,,,,36,59153,,NA,3131,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6915,6915,Animalia,Chordata,Actinopteri,Tetraodontiformes,Monacanthidae,Pseudomonacanthus,Pseudomonacanthus macrurus,180,male/unsexed,48637,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,commercial,8631,0.625,82805,2.9,0.4,69278,less than 15 months,120179,,,,,30,59153,,NA,8631,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6916,6916,Animalia,Chordata,Actinopteri,Tetraodontiformes,Monacanthidae,Pseudomonacanthus,Pseudomonacanthus peroni,350,male/unsexed,48594,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.625,82805,2.8,0.4,69278,1.4 - 4.4 years,120179,,,,,45,59153,,NA,3132,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6917,6917,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Bulbonaricus,Bulbonaricus brauni,55,male/unsexed,1602,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.625,82805,3.2,0.4,69278,less than 15 months,120179,,,,,10,59153,,NA,5316,LC,1,1,0,0,0,1,1,0,0,0,0,0
6918,6918,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Malacanthidae,Hoplolatilus,Hoplolatilus fourmanoiri,NA,,NA,140,male/unsexed,9710,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,of no interest,,,,commercial,9137,0.5001,82805,3.4,0.45,69278,less than 15 months,120179,,,,,21,59153,,NA,9870,LC,1,0,0,0,0,0,0,0,0,0,0,0
6919,6919,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Drombus,Drombus globiceps,NA,,NA,43,male/unsexed,7050,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,of no interest,,,,,4833,0.501,82805,3.2,0.3,69278,less than 15 months,120179,,,,,10,59153,,NA,7050,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6920,6920,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Drombus,Drombus halei,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.501,82805,3.2,0.3,69278,less than 15 months,120179,,,,,10,59153,,NA,42915,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6921,6921,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Drombus,Drombus simulus,NA,,NA,35,male/unsexed,4343,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.501,82805,3.1,0.3,69278,less than 15 months,120179,,,,,10,59153,,NA,2798,DD,0,1,0,0,0,0,0,0,0,0,0,0
6922,6922,Animalia,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Heteromycteris,Heteromycteris hartzfeldii,200,male/unsexed,48637,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5156,82805,3.5,0.4,69278,1.4 - 4.4 years,120179,,,,,34,59153,,NA,36648,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6923,6923,Animalia,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Heteromycteris,Heteromycteris japonicus,135,male/unsexed,559,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,commercial,,,,,4537,0.5156,82805,3.4,0.4,69278,less than 15 months,120179,,,,,27,59153,very high,80766,559,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6924,6924,Animalia,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Heteromycteris,Heteromycteris matsubarai,130,male/unsexed,559,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5156,82805,3.4,0.4,69278,less than 15 months,120179,,,,,26,59153,,NA,559,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6925,6925,Animalia,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Heteromycteris,Heteromycteris oculus,NA,,NA,150,male/unsexed,11298,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,minor commercial,,,,,11298,0.5156,82805,3.4,0.4,69278,less than 15 months,120179,,,,,24,59153,very high,80766,11298,DD,1,0,0,0,0,0,0,0,0,0,0,0
6926,6926,Animalia,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Heteromycteris,Heteromycteris proboscideus,NA,,NA,100,male/unsexed,27121,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,commercial,,,,,2683,0.5156,82805,3.3,0.4,69278,less than 15 months,120179,,,,,17,59153,very high,80766,5304,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6927,6927,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Trimmatom,Trimmatom pharus,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5078,82805,3,0.3,69278,less than 15 months,120179,,,,,10,59153,,NA,52310,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6928,6928,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Yongeichthys,Yongeichthys thomasi,NA,,NA,60,male/unsexed,7390,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,,,,,,,0.625,82805,3.2,0.3,69278,less than 15 months,120179,,,,,11,59153,very high,80766,57403,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6929,6929,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Nemipteridae,Nemipterus,Nemipterus balinensoides,140,male/unsexed,48635,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,subsistence fisheries,,,,,171,0.5,82805,3.7,0.5,69278,less than 15 months,120179,,,,,18,59153,high,80766,3810,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6930,6930,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Nemipteridae,Nemipterus,Nemipterus furcosus,240,male/unsexed,48635,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,commercial,,,,,,0.5,82805,3.7,0,69278,less than 15 months,120179,,,,,28,59153,high,80766,3810,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6931,6931,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Nemipteridae,Nemipterus,Nemipterus hexodon,210,male/unsexed,9875,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,minor commercial,,,,,,0.5,82805,3.9,0.3,69278,less than 15 months,120179,,,,,27,59153,high,80766,3810,LC,1,0,0,0,0,0,0,0,0,0,0,0
6932,6932,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Nemipteridae,Nemipterus,Nemipterus marginatus,150,male/unsexed,3810,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,minor commercial,,,,,,0.5,82805,3.5,0.37,69278,less than 15 months,120179,,,,,22,59153,high,80766,3207,LC,1,0,0,0,0,0,0,0,0,0,0,0
6933,6933,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Nemipteridae,Nemipterus,Nemipterus nematophorus,200,male/unsexed,3810,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,minor commercial,,,,,171,0.5,82805,3.8,0.5,69278,less than 15 months,120179,,,,,22,59153,high,80766,3810,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6934,6934,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Nemipteridae,Nemipterus,Nemipterus virgatus,350,male/unsexed,3810,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,commercial,,,,,4931,0.5,82805,4,0.57,69278,1.4 - 4.4 years,120179,0.24-0.45,,,"2,000",35,59153,very high,80766,3810,VU,1,0,0,0,0,0,0,0,0,0,0,0
6935,6935,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Nemipteridae,Nemipterus,Nemipterus vitiensis,220,male/unsexed,3810,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,minor commercial,,,,,171,0.5,82805,3.8,0.5,69278,less than 15 months,120179,,,,,27,59153,high,80766,3810,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6936,6936,Animalia,Chordata,Actinopteri,Centrarchiformes,Cirrhitidae,Cirrhitops,Cirrhitops hubbardi,NA,,NA,250,male/unsexed,559,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.625,82805,4,0.67,69278,,120179,,,,,13,59153,,NA,559,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6937,6937,Animalia,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Psettina,Psettina filimana,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.501,82805,3.6,0.4,69278,less than 15 months,120179,,,,,27,59153,,NA,27116,DD,0,1,0,0,0,0,0,0,0,0,0,0
6938,6938,Animalia,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Psettina,Psettina gigantea,130,male/unsexed,9824,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,9824,0.501,82805,3.7,0.4,69278,1.4 - 4.4 years,120179,,,,,32,59153,,NA,559,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6939,6939,Animalia,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Psettina,Psettina hainanensis,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.501,82805,3.7,0.4,69278,1.4 - 4.4 years,120179,,,,,32,59153,,NA,33837,DD,1,0,0,0,0,0,0,0,0,0,0,0
6940,6940,Animalia,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Psettina,Psettina iijimae,85,male/unsexed,9824,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,of no interest,,,,,9824,0.501,82805,3.7,0.53,69278,less than 15 months,120179,,,,,25,59153,,NA,559,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6941,6941,Animalia,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Psettina,Psettina multisquamea,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.501,82805,3.6,0.4,69278,less than 15 months,120179,,,,,29,59153,,NA,40966,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6942,6942,Animalia,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Psettina,Psettina profunda,110,male/unsexed,9824,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.501,82805,3.6,0.4,69278,less than 15 months,120179,,,,,30,59153,,NA,9824,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6943,6943,Animalia,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Psettina,Psettina senta,77.4,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.501,82805,3.5,0.4,69278,less than 15 months,120179,,,,,24,59153,,NA,33373,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6944,6944,Animalia,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Psettina,Psettina tosana,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.501,82805,3.6,0.4,69278,less than 15 months,120179,,,,,29,59153,,NA,559,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6945,6945,Animalia,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Psettina,Psettina variegata,98.3,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.501,82805,3.5,0.37,69278,less than 15 months,120179,,,,,28,59153,,NA,9824,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6946,6946,Animalia,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Chascanopsetta,Chascanopsetta crumenalis,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5039,82805,3.7,0.4,69278,1.4 - 4.4 years,120179,,,,,47,59153,,NA,11412,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6947,6947,Animalia,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Chascanopsetta,Chascanopsetta elski,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5039,82805,3.7,0.4,69278,1.4 - 4.4 years,120179,,,,,47,59153,,NA,40966,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6948,6948,Animalia,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Chascanopsetta,Chascanopsetta kenyaensis,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5039,82805,3.7,0.4,69278,1.4 - 4.4 years,120179,,,,,47,59153,,NA,40966,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6949,6949,Animalia,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Chascanopsetta,Chascanopsetta megagnatha,246,male/unsexed,10737,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5039,82805,3.7,0.4,69278,1.4 - 4.4 years,120179,,,,,43,59153,,NA,10737,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6950,6950,Animalia,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Chascanopsetta,Chascanopsetta micrognatha,274,male/unsexed,11412,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5039,82805,3.7,0.4,69278,1.4 - 4.4 years,120179,,,,,46,59153,,NA,11412,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6951,6951,Animalia,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Chascanopsetta,Chascanopsetta prognatha,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5039,82805,3.7,0.4,69278,1.4 - 4.4 years,120179,,,,,47,59153,,NA,559,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6952,6952,Animalia,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Chascanopsetta,Chascanopsetta prorigera,30,male/unsexed,11412,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5039,82805,3.2,0.4,69278,1.4 - 4.4 years,120179,,,,,10,59153,,NA,11412,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6953,6953,Animalia,Chordata,Actinopteri,Gobiiformes,Eleotridae,Hypseleotris,Hypseleotris compressocephalus,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,,,,,,,0.5,82805,3.3,0.2,69278,less than 15 months,120179,,,,,21,59153,,NA,33469,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6954,6954,Animalia,Chordata,Actinopteri,Gobiiformes,Eleotridae,Hypseleotris,Hypseleotris cyprinoides,80,male/unsexed,48660,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,,,,,,,0.5,82805,3.2,0.4,69278,less than 15 months,120179,,,,,15,59153,,NA,55103,DD,0,0,0,0,0,0,1,0,0,1,0,0
6955,6955,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pseudochromidae,Pseudochromis,Pseudochromis bitaeniatus,NA,,NA,120,male/unsexed,48635,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,3.6,0.5,69278,less than 15 months,120179,,,,,22,59153,,NA,2334,LC,0,0,0,0,0,1,0,0,0,0,0,0
6956,6956,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pseudochromidae,Pseudochromis,Pseudochromis caudalis,NA,,NA,110,male/unsexed,11441,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,3.6,0.5,69278,less than 15 months,120179,,,,,21,59153,,NA,11441,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6957,6957,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pseudochromidae,Pseudochromis,Pseudochromis colei,NA,,NA,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,yes,,,,0.5,82805,3.3,0.5,69278,less than 15 months,120179,,,,,10,59153,,NA,89094,DD,1,0,0,0,0,0,0,0,0,0,0,0
6958,6958,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pseudochromidae,Pseudochromis,Pseudochromis cyanotaenia,NA,,NA,60,male/unsexed,9710,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,commercial,27115,0.5,82805,3.3,0.44,69278,less than 15 months,120179,,,,,12,59153,,NA,1602,LC,1,0,0,0,0,1,0,0,0,0,0,0
6959,6959,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pseudochromidae,Pseudochromis,Pseudochromis fuscus,NA,,NA,100,male/unsexed,48635,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,commercial,27115,0.5,82805,3.5,0.5,69278,less than 15 months,120179,,,,,14,59153,,NA,2334,LC,1,0,0,0,0,1,0,0,0,0,0,0
6960,6960,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pseudochromidae,Pseudochromis,Pseudochromis jamesi,NA,,NA,55,male/unsexed,9710,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,3.3,0.5,69278,less than 15 months,120179,,,,,11,59153,,NA,7300,LC,1,0,0,0,0,1,0,0,0,0,0,0
6961,6961,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pseudochromidae,Pseudochromis,Pseudochromis kolythrus,38,male/unsexed,12712,NA,,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,3.3,0.5,69278,less than 15 months,120179,,,,,10,59153,,NA,12712,DD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6962,6962,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pseudochromidae,Pseudochromis,Pseudochromis linda,NA,,NA,81,male/unsexed,11441,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,,,0.5,82805,3.5,0.5,69278,less than 15 months,120179,,,,,15,59153,,NA,12720,LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
